City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Muisne,EC,2021-12-07 10:09:52,0.6,-80.0333,74.08,85,99,5.46
189,Smidovich,RU,2021-12-07 10:09:52,48.6,133.8167,5.99,97,90,5.01
190,Hokitika,NZ,2021-12-07 10:09:52,-42.7167,170.9667,53.67,82,4,2.84
191,Chauk,MM,2021-12-07 10:09:52,20.8833,94.8167,84.11,50,8,1.34
192,Tessalit,ML,2021-12-07 10:09:52,20.1986,1.0114,79.88,12,51,10.09
193,Mahebourg,MU,2021-12-07 10:09:53,-20.4081,57.7,84.49,58,40,10.36
194,Horta,PT,2021-12-07 10:09:53,38.5333,-28.6333,62.24,77,40,2.3
195,Kautokeino,NO,2021-12-07 10:09:53,69.0125,23.0412,-14.19,100,100,4.14
196,Norman Wells,CA,2021-12-07 10:09:53,65.282,-126.8329,3.52,80,100,8.39
197,Tadine,NC,2021-12-07 10:09:53,-21.55,167.8833,78.31,83,21,6.4
198,Ushibuka,JP,2021-12-07 10:09:54,32.1906,130.0228,57.18,67,10,18.28
199,Henties Bay,NA,2021-12-07 10:09:54,-22.116,14.2845,67.86,69,36,7.67
200,Sao Filipe,CV,2021-12-07 10:09:54,14.8961,-24.4956,77.29,68,94,7.74
201,Santa Cruz De Tenerife,ES,2021-12-07 10:05:10,28.4682,-16.2546,69.22,85,75,3.0
202,San Luis,AR,2021-12-07 10:09:55,-33.295,-66.3356,71.4,55,0,13.24
203,Isla Mujeres,MX,2021-12-07 10:09:55,21.2311,-86.731,73.45,83,3,8.25
204,North Vanlaiphai,IN,2021-12-07 10:09:55,23.1333,93.0667,58.41,97,95,1.34
205,Acheng,CN,2021-12-07 10:09:56,45.5454,126.977,21.47,85,5,9.42
206,Senneterre,CA,2021-12-07 10:09:56,48.3835,-77.2328,-0.18,87,100,11.36
207,Guarapari,BR,2021-12-07 10:09:56,-20.6667,-40.4975,75.09,86,11,8.39
208,Vestmanna,FO,2021-12-07 10:09:57,62.1564,-7.1664,38.32,87,40,20.71
209,Longyearbyen,SJ,2021-12-07 10:09:57,78.2186,15.6401,35.44,75,75,26.46
210,Tarakan,ID,2021-12-07 10:09:57,3.3,117.6333,83.7,74,20,2.3
211,Messina,IT,2021-12-07 10:05:37,38.1933,15.5497,58.17,53,40,10.0
212,Jijiang,CN,2021-12-07 10:09:57,29.2906,106.2542,60.49,55,100,3.06
213,Torbay,CA,2021-12-07 10:09:58,47.6666,-52.7314,49.28,96,90,31.07
214,Mabaruma,GY,2021-12-07 10:09:58,8.2,-59.7833,71.35,99,99,0.89
215,Celestun,MX,2021-12-07 10:09:58,20.8667,-90.4,74.19,91,0,7.67
216,Grindavik,IS,2021-12-07 10:05:14,63.8424,-22.4338,28.87,80,20,9.22
217,East London,ZA,2021-12-07 10:09:58,-33.0153,27.9116,68.86,78,85,9.55
218,San Joaquin,US,2021-12-07 10:09:59,37.9333,-121.3011,51.13,93,90,4.61
219,Quatre Cocos,MU,2021-12-07 10:09:59,-20.2078,57.7625,84.31,62,6,13.22
220,Souillac,MU,2021-12-07 10:09:59,-20.5167,57.5167,84.58,58,40,10.36
221,Thinadhoo,MV,2021-12-07 10:09:59,0.5333,72.9333,82.27,78,67,14.79
222,Lasa,IT,2021-12-07 10:10:00,46.6166,10.7002,32.02,79,66,6.69
223,Pevek,RU,2021-12-07 10:06:01,69.7008,170.3133,-10.08,95,100,8.41
224,Upernavik,GL,2021-12-07 10:10:00,72.7868,-56.1549,16.45,94,99,6.6
225,Yellowknife,CA,2021-12-07 10:10:00,62.456,-114.3525,-16.71,93,48,9.95
226,Belaya Gora,RU,2021-12-07 10:10:01,68.5333,146.4167,-23.96,99,100,2.21
