City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Chalus,IR,60.12,clear sky,36.655,51.4204,نظام مهندسي ساختمان چالوس
409,Acapulco,MX,82.63,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
411,Puerto Del Rosario,ES,67.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
412,Berbera,SO,78.71,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
413,Iquique,CL,69.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
417,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
418,Manggar,ID,78.66,overcast clouds,-2.8833,108.2667,Guest Hotel
422,Balikpapan,ID,76.6,overcast clouds,-1.2675,116.8289,ibis Balikpapan
423,Tabatinga,BR,82.49,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
424,Karratha,AU,88.83,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
425,Kijang,KR,50.58,broken clouds,35.2442,129.2139,Samyang Beach Villa
426,Oudtshoorn,ZA,69.13,broken clouds,-33.5907,22.2014,Earthbound Guest House
428,Dunedin,NZ,50.14,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
429,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
430,Cururupu,BR,85.46,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
431,Lodwar,KE,89.98,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
433,Gushikawa,JP,69.03,few clouds,26.3544,127.8686,Kirari Guest House
436,Kamina,CD,74.75,broken clouds,-8.7386,24.9906,Guest House Florvia
437,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
438,Kirundo,BI,74.17,overcast clouds,-2.5833,30.1667,Maranatha Hotel
439,Angoche,MZ,81.63,clear sky,-16.2325,39.9086,Guest House HESADA
440,Faya,SA,59.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
441,Eloi Mendes,BR,74.73,scattered clouds,-21.61,-45.5653,Hotel Santa Rita
442,Lambarene,GA,81.86,light rain,-0.7001,10.2406,Le Refuge
444,Nouadhibou,MR,70.14,clear sky,20.931,-17.0347,El Medina
448,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
450,Riachao Do Jacuipe,BR,89.29,broken clouds,-11.8069,-39.3856,Riachão Palace Hotel
451,Jinja,UG,73.51,overcast clouds,0.439,33.2032,2 Friends Guesthouse and Restaurant
452,Umm Lajj,SA,77.58,broken clouds,25.0213,37.2685,Moon light Furnished Units
457,Surt,LY,63.09,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
458,Kaseda,JP,54.97,clear sky,31.4167,130.3167,Sun Stay Kaseda
459,Sao Miguel Do Araguaia,BR,84.29,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
461,Formosa,AR,87.78,scattered clouds,-26.1775,-58.1781,Hotel Portal del Sol
462,Le Port,RE,78.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
464,Axim,GH,83.57,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
466,Fuerte Olimpo,PY,97.99,clear sky,-21.0415,-57.8738,Hospedaje DAMI
467,Puerto Rico,AR,92.71,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
468,Kirakira,SB,79.45,moderate rain,-10.4544,161.9205,SanBiz Lodge
470,Cabo San Lucas,MX,76.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
475,Lisala,CD,80.06,broken clouds,2.15,21.5167,Flat hôtel tozelaka
480,Madras,IN,81.97,mist,13.0878,80.2785,City home
482,Olavarria,AR,80.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
483,Duki,PK,51.57,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
484,Buraydah,SA,63.86,broken clouds,26.326,43.975,فندق راحة السلام
485,Sao Joao Dos Patos,BR,95.9,scattered clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
487,North Myrtle Beach,US,59.0,overcast clouds,33.816,-78.68,Avista Resort
490,Hubli,IN,71.64,clear sky,15.35,75.1667,Hotel Swathi
491,Valle Hermoso,MX,62.74,overcast clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
495,Ihosy,MG,83.08,clear sky,-22.4,46.1167,Hotely Sariaka
496,Lucero,PH,79.09,scattered clouds,16.4051,119.9124,Sundowners Vacation Villas
497,Chaiya,TH,77.0,scattered clouds,9.3862,99.1986,JP Place
499,Savalou,BJ,93.18,overcast clouds,7.9281,1.9756,Hotel F&F
500,Timbiqui,CO,77.86,overcast clouds,2.7717,-77.6654,hotel diana
502,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
503,Itarema,BR,89.01,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
504,Kismayo,SO,81.3,broken clouds,-0.3582,42.5454,Agan-Hotel
510,Ankazoabo,MG,87.93,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
512,Broken Hill,AU,58.78,clear sky,-31.95,141.4333,Royal Exchange Hotel
513,Tezu,IN,62.71,scattered clouds,27.9167,96.1667,Circuit House
514,Houma,US,66.99,mist,29.5958,-90.7195,Courtyard by Marriott Houma
517,Matata,NZ,65.59,overcast clouds,-37.8833,176.75,Matata B&B
518,Canton,CN,68.0,overcast clouds,23.1167,113.25,Guangzhou Hotel
519,Buchanan,LR,83.12,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
520,Menongue,AO,67.41,moderate rain,-14.6585,17.691,Ritz Lauca
521,Pemba,MZ,82.18,overcast clouds,-12.974,40.5178,Guesthouse Samotina
522,Rusape,ZW,78.66,overcast clouds,-18.5278,32.1284,Surrey Lodge
525,Miandrivazo,MG,90.57,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
526,Manadhoo,MV,83.46,broken clouds,5.7667,73.3833,Reason Inn
528,Cadereyta,MX,65.34,overcast clouds,25.5833,-99.9833,Best Western Centro Cadereyta
529,Conde,BR,89.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
531,Mahibadhoo,MV,82.92,overcast clouds,3.7833,72.9667,Omadhoo Inn
532,Salina Cruz,MX,87.12,clear sky,16.1667,-95.2,Amerik HOTEL
